compound_id,is_hit,true_capture_prob,input_count,selected_count,scaffold_id,log2_enrichment_mean,log2_enrichment_ci_low,log2_enrichment_ci_high,prob_enriched,scaffold_log2_enrichment
0,False,0.001,410,0,0,-8.426554939834796,-15.071324115532185,-1.7817857641374069,0.006468013304120501,0.05066920525792676
1,False,0.001,41,0,0,-5.103660875569115,-11.761634103265832,1.5543123521276012,0.06649590003295325,0.05066920525792676
2,False,0.001,133,88,0,2.727488031155236,2.3389316358885033,3.1160444264219684,1.0,0.05066920525792676
3,False,0.001,491,0,0,-8.686672295904627,-15.33119935540519,-2.042145236404064,0.005198412347844683,0.05066920525792676
4,False,0.001,22,0,0,-4.204667574270161,-10.875300701621473,2.4659655530811504,0.10833813610090481,0.05066920525792676
5,False,0.001,36,0,0,-4.915889916777139,-11.575899871340088,1.7441200377858097,0.0739919381868539,0.05066920525792676
6,False,0.001,405,95,0,1.2312261787748322,0.9089067105653686,1.5535456469842956,0.9999999999999647,0.05066920525792676
7,False,0.001,928,93,0,0.004253284819382453,-0.30327492777747517,0.31178149741624006,0.5108129569540147,0.05066920525792676
8,False,0.001,1135,87,0,-0.3824993918541072,-0.6970392497245617,-0.0679595339836529,0.008575976886946446,0.05066920525792676
9,False,0.001,295,0,0,-7.951602956079782,-14.596944252559958,-1.3062616595996062,0.009507666399446113,0.05066920525792676
10,False,0.001,521,95,0,0.867839788415395,0.5524135487428035,1.1832660280879865,0.9999999652571728,0.05066920525792676
11,False,0.001,233,0,0,-7.611177235339287,-14.25706127932597,-0.9652931913526066,0.012395548528168043,0.05066920525792676
12,False,0.001,330,0,0,-8.113370283772115,-14.758495246568081,-1.468245320976151,0.0083551767010267,0.05066920525792676
13,False,0.001,55,0,0,-5.527735967969561,-12.18197573577191,1.1265037998327871,0.05174553940074267,0.05066920525792676
14,False,0.001,1124,0,0,-9.881571505921611,-16.525408373963614,-3.237734637879612,0.0017778082866118927,0.05066920525792676
15,False,0.001,369,0,0,-8.274539571280767,-14.919471816814346,-1.6296073257471901,0.007330899413774961,0.05066920525792676
16,False,0.001,499,0,0,-8.709990568048601,-15.354497979709423,-2.0654831563877805,0.005096239097565292,0.05066920525792676
17,False,0.001,17,0,0,-3.8321722894825507,-10.510833661726354,2.8464890827612503,0.13037620535730754,0.05066920525792676
18,False,0.001,463,87,0,0.9111668893147311,0.5807721327221209,1.2415616459073413,0.9999999676344273,0.05066920525792676
19,False,0.001,466,0,0,-8.611274270891466,-15.255867077792066,-1.9666814639908665,0.005541379289205395,0.05066920525792676
20,False,0.001,348,0,0,-8.18999865789841,-14.835029307030513,-1.5449680087663102,0.007853464986038783,0.05066920525792676
21,False,0.001,195,0,0,-7.354283733695154,-14.000671007112775,-0.7078964602775342,0.015052098357860921,0.05066920525792676
22,False,0.001,491,0,0,-8.686672295904627,-15.33119935540519,-2.042145236404064,0.005198412347844683,0.05066920525792676
23,False,0.001,458,109,0,1.2521763237220342,0.950864943952695,1.5534877034913732,0.9999999999999998,0.05066920525792676
24,False,0.001,275,0,0,-7.850308480987913,-14.495798119262194,-1.2048188427136317,0.010298178695716365,0.05066920525792676
25,False,0.001,136,0,0,-6.834316461037716,-13.482042274775813,-0.18659064729961994,0.021953533418229032,0.05066920525792676
26,True,0.02,702,958,0,3.772081789165965,3.6317520601714626,3.9124115181604675,1.0,0.05066920525792676
27,False,0.001,303,0,0,-7.990209841044741,-14.63549728380551,-1.3449223982839733,0.009220657124077714,0.05066920525792676
28,False,0.001,339,82,0,1.2755071311711477,0.9275327895380538,1.6234814728042415,0.9999999999996622,0.05066920525792676
29,False,0.001,54,0,0,-5.501249137827948,-12.155691403801674,1.1531931281457766,0.05258299883039452,0.05066920525792676
30,False,0.001,82,103,0,3.6525685274943456,3.23406189555678,4.071075159431912,1.0,0.05066920525792676
31,False,0.001,949,79,0,-0.26349338661932364,-0.5945967224166929,0.06760994917804553,0.05940979986402062,0.05066920525792676
32,False,0.001,327,0,0,-8.100193637328166,-14.745335328497085,-1.4550519461592488,0.008444230352887327,0.05066920525792676
33,False,0.001,10,0,0,-3.0651503594441687,-9.768497953985573,3.638197235097233,0.1850712174672149,0.05066920525792676
34,False,0.001,507,0,0,-8.73293793421534,-15.377426318069256,-2.0884495503614238,0.004997441492448851,0.05066920525792676
35,False,0.001,161,0,0,-7.077821643010358,-13.724860513214132,-0.43078277280658384,0.018444710610192594,0.05066920525792676
36,False,0.001,845,0,0,-9.469939357635493,-16.113952992213303,-2.8259257230576855,0.002606216888859647,0.05066920525792676
37,False,0.001,419,74,0,0.8216599122210683,0.46510484892588627,1.17821497551625,0.999996858278596,0.05066920525792676
38,False,0.001,401,0,0,-8.394530786570039,-15.03933290166292,-1.7497286714771594,0.006641924600535587,0.05066920525792676
39,False,0.001,232,0,0,-7.604971251678854,-14.250866426669022,-0.959076076688687,0.012454585154925701,0.05066920525792676
40,False,0.001,5,0,0,-2.0623829200305126,-8.825323743206285,4.700557903145259,0.27502072805363165,0.05066920525792676
41,False,0.001,2229,81,0,-1.4593545078766765,-1.7791828738469373,-1.1395261419064158,0.0,0.05066920525792676
42,False,0.001,174,0,0,-7.189869092307945,-13.836628756554173,-0.5431094280617179,0.016998240040001167,0.05066920525792676
43,False,0.001,863,0,0,-9.500349697799605,-16.14434847910184,-2.8563509164973704,0.0025347759904198464,0.05066920525792676
44,False,0.001,49,0,0,-5.360989686278797,-12.016568375217728,1.2945890026601319,0.05719925951486737,0.05066920525792676
45,False,0.001,1348,100,0,-0.42965500191013545,-0.7226858685690791,-0.13662413525119177,0.0020279112044092606,0.05066920525792676
46,False,0.001,3,0,0,-1.3235611485694525,-8.16479329608921,5.517670998950304,0.3522730973299246,0.05066920525792676
47,False,0.001,409,0,0,-8.42303160306476,-15.067804367109556,-1.7782588390199683,0.006486947810573462,0.05066920525792676
48,False,0.001,28,0,0,-4.552987932724763,-11.217768522143992,2.1117926566944645,0.0902962988765349,0.05066920525792676
49,False,0.001,54,0,0,-5.501249137827948,-12.155691403801674,1.1531931281457766,0.05258299883039452,0.05066920525792676
50,False,0.001,772,0,0,-9.339583777233845,-15.983664750594123,-2.695502803873569,0.00293352056804963,0.05066920525792676
51,False,0.001,1184,0,0,-9.956600602613689,-16.60041034038337,-3.3127908648440085,0.001655646272733624,0.05066920525792676
52,False,0.001,303,0,0,-7.990209841044741,-14.63549728380551,-1.3449223982839733,0.009220657124077714,0.05066920525792676
53,False,0.001,467,94,0,1.010438955971175,0.6908072942752932,1.3300706176670567,0.9999999997103399,0.05066920525792676
54,False,0.001,414,0,0,-8.440562865641928,-15.085317861293841,-1.795807869990016,0.00639321745137289,0.05066920525792676
55,False,0.001,229,92,0,2.007577385559697,1.6585613989331591,2.356593372186235,1.0,0.05066920525792676
56,False,0.001,842,84,0,-0.0023295111489914223,-0.3258590587444527,0.32120003644646977,0.49437017903026736,0.05066920525792676
57,False,0.001,695,107,0,0.6237521824610194,0.33014252777091296,0.9173618371511257,0.9999843502689456,0.05066920525792676
58,False,0.001,140,0,0,-6.876146035792774,-13.523745453730044,-0.22854661785550778,0.021313408726888472,0.05066920525792676
59,False,0.001,237,0,0,-7.63573760611865,-14.281578065358216,-0.9898971468790858,0.012164283834947387,0.05066920525792676
60,False,0.001,498,0,0,-8.707096312234771,-15.351606145354737,-2.062586479114807,0.005108822801554558,0.05066920525792676
61,False,0.001,451,0,0,-8.564068513347443,-15.208704267330877,-1.9194327593640113,0.005766211083021777,0.05066920525792676
62,False,0.001,31,0,0,-4.699972935887352,-11.362676190576767,1.96273031880206,0.08339552056408517,0.05066920525792676
63,False,0.001,2503,85,0,-1.5570518259616988,-1.8688994906776104,-1.2452041612457871,0.0,0.05066920525792676
64,False,0.001,1,0,0,0.24340654918787566,-6.955405413022593,7.442218511398344,0.5264187212818798,0.05066920525792676
65,False,0.001,478,69,0,0.5306142506105536,0.16645509342818493,0.8947734077929221,0.9978539272471043,0.05066920525792676
66,False,0.001,437,79,0,0.8553374743329133,0.5096474390043408,1.2010275096614857,0.999999381196179,0.05066920525792676
67,False,0.001,121,0,0,-6.665676136819127,-13.313950352535741,-0.017401921102513818,0.02470166737757662,0.05066920525792676
68,False,0.001,297,0,0,-7.961351964409234,-14.606679525484356,-1.3160244033341133,0.009434462437324598,0.05066920525792676
69,False,0.001,171,0,0,-7.16477358301146,-13.811593911773485,-0.5179532542494352,0.017313478740875965,0.05066920525792676
70,False,0.001,12,0,0,-3.3287622532412273,-10.022125963576801,3.364601457094344,0.16484592817448607,0.05066920525792676
71,False,0.001,320,258,0,3.0127750889769205,2.776262011309609,3.249288166644232,1.0,0.05066920525792676
72,False,0.001,340,159,0,2.226851038238949,1.9552441364176931,2.4984579400602045,1.0,0.05066920525792676
73,False,0.001,482,0,0,-8.659980692949445,-15.304530635842085,-2.0154307500568045,0.005317602049098813,0.05066920525792676
74,False,0.001,1997,168,0,-0.24803784340252902,-0.47510805698655734,-0.0209676298185007,0.01613916552996142,0.05066920525792676
75,False,0.001,61,0,0,-5.6771914657039595,-12.330355628309249,0.9759726969013274,0.047217714981606984,0.05066920525792676
76,False,0.001,126,0,0,-6.7241074623309265,-13.372184371195072,-0.07603055346678111,0.02371841571243205,0.05066920525792676
77,False,0.001,183,0,0,-7.262638135368529,-13.909227739087758,-0.6160485316493007,0.016111794464080953,0.05066920525792676
78,False,0.001,63,0,0,-5.723756784869596,-12.376607927819766,0.9290943580805715,0.04587401787732759,0.05066920525792676
79,False,0.001,206,0,0,-7.433466271914944,-14.079688782141137,-0.7872437616887522,0.014185373240901855,0.05066920525792676
80,False,0.001,1234,299,0,1.2782699235717256,1.0961185926992423,1.460421254444209,1.0,0.05066920525792676
